stage_name,full_name,nationality,main_instrument,country,main_music_genre
Rihanna,Ernst Matteoli,Filipino,trumpet,Philippines,Electronic
Beyonce,Maddie Haddacks,Argentinian,piano,Argentina,Classical
Lady Gaga,Chere Mumbeson,Filipino,flute,Philippines,Metal
Adele,Eddie McGaughay,Thai,trumpet,Thailand,R&B
Billie Eilish,Lianna Brailsford,Indonesian,drums,Indonesia,Metal
Dua Lipa,Sofia Jarmyn,Russian,flute,Russia,Rock
Katy Perry,Hedwig Delamaine,Indonesian,trumpet,Indonesia,R&B
Harry Styles,Goldarina Glaister,Chinese,trumpet,China,Rock
The Weeknd,Marilyn Hartegan,Chinese,guitar,China,Country
Justin Bieber,Arlen Lumbley,Vietnamese,drums,Vietnam,Metal
Selena Gomez,Martguerita Dosdale,Chinese,guitar,China,Reggae
Lana del Rey,Hali Aviss,Chinese,flute,China,Jazz
Post Malone,Giustino Walters,Chinese,piano,China,Rock
Ariana Grande,Aundrea Lanfear,Czech,guitar,Czech Republic,Metal
Pitbull,Bernhard Rosendahl,Filipino,drums,Philippines,Rock
Sia,Hertha Webb,Indonesian,drums,Indonesia,Rock
Khalid,Erminie Platfoot,Indonesian,violin,Indonesia,Hip Hop
Lorde,Ninette Sewley,Kosovar,drums,Kosovo,Electronic
Sam Smith,Layney Barnes,Portuguese,drums,Portugal,Electronic
Kanye West,Cherlyn Tissier,Chinese,trumpet,China,Classical
Ed Sheeran,Tate Brandle,Bolivian,guitar,Bolivia,Pop
Shawn Mendes,Jorrie Valentine,Chinese,guitar,China,Classical
Zayn,Thatcher Fargie,Belarusian,trumpet,Belarus,Reggae
Bruno Mars,Wes Denty,Russian,piano,Russia,Rock
Niall Horan,Athene Anfosso,Dutch,guitar,Netherlands,Reggae
